Component,Quantity,Manufacturer,ID,DigiKey ID,Cost per unit (€),Sub-Total  (€),Sub-Total VAT  (€),Total  (€),Total VAT  (€),LCSC ID,Cost per unit ($),Sub-Total,Sub-Total VAT,Total,Total VAT
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
,,,,,0,,,,,,,,,,
